Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27358.300781,27527.240234,27346.00,27499.419922,6500,27499.419922
2014-12-30,27478.300781,27478.300781,27312.289062,27403.539062,6100,27403.539062
2014-12-24,27530.259766,27571.25,27146.519531,27208.609375,10600,27208.609375
2014-12-23,27733.119141,27851.099609,27475.130859,27506.460938,8600,27506.460938
2014-12-22,27479.869141,27725.269531,27382.320312,27701.789062,7400,27701.789062
2014-12-19,27292.550781,27497.119141,27292.140625,27371.839844,11800,27371.839844
2014-12-18,27053.859375,27180.919922,26900.570312,27126.570312,11200,27126.570312
2014-12-17,26724.009766,26871.910156,26469.419922,26710.130859,16600,26710.130859
2014-12-16,27181.179688,27199.369141,26736.230469,26781.439453,14300,26781.439453
2014-12-15,27136.279297,27392.179688,27105.039062,27319.560547,9100,27319.560547
2014-12-12,27598.960938,27692.320312,27320.050781,27350.679688,10900,27350.679688
2014-12-11,27796.339844,27796.339844,27539.470703,27602.009766,9800,27602.009766
2014-12-10,27711.960938,27905.25,27710.029297,27831.099609,9900,27831.099609
2014-12-09,28134.220703,28157.529297,27763.820312,27797.009766,9600,27797.009766
2014-12-08,28433.00,28494.849609,28097.119141,28119.400391,9500,28119.400391
2014-12-05,28604.50,28651.75,28409.050781,28458.099609,7700,28458.099609
2014-12-04,28616.929688,28808.779297,28448.949219,28562.820312,10400,28562.820312
2014-12-03,28472.320312,28504.650391,28370.730469,28442.710938,10100,28442.710938
2014-12-02,28522.460938,28576.390625,28386.460938,28444.009766,11200,28444.009766
2014-12-01,28748.220703,28809.640625,28538.439453,28559.619141,8300,28559.619141
2014-11-28,28490.710938,28822.369141,28483.990234,28693.990234,14600,28693.990234
2014-11-27,28397.800781,28498.300781,28307.580078,28438.910156,11900,28438.910156
2014-11-26,28321.580078,28470.150391,28261.310547,28386.189453,8700,28386.189453
2014-11-25,28520.759766,28541.220703,28217.50,28338.050781,10800,28338.050781
2014-11-24,28413.009766,28541.960938,28394.480469,28499.539062,9700,28499.539062
2014-11-21,28100.099609,28360.660156,28038.400391,28334.630859,10100,28334.630859
