Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,434.00,438.20,433.20,436.00,1551400,427.56
2014-12-30,419.50,434.00,417.10,432.30,3108400,423.93
2014-12-29,419.80,422.70,417.10,418.85,1121000,410.74
2014-12-26,419.80,421.30,414.05,417.75,1042900,409.66
2014-12-25,417.00,417.00,417.00,417.00,000,408.93
2014-12-24,414.50,422.85,409.00,417.00,4095000,408.93
2014-12-23,419.10,426.50,411.35,413.30,2314600,405.30
2014-12-22,424.90,427.00,411.25,419.40,3006200,411.28
2014-12-19,425.00,434.00,418.00,422.80,3187400,414.61
2014-12-18,415.00,424.90,405.00,421.70,4805700,413.54
2014-12-17,396.00,409.00,376.25,402.30,5224100,394.51
2014-12-16,433.35,435.40,392.70,396.15,6386400,388.48
2014-12-15,432.50,443.95,430.95,435.40,2823300,426.97
2014-12-12,452.35,455.60,435.00,436.90,2989700,428.44
2014-12-11,459.70,460.60,446.25,453.25,4066900,444.47
2014-12-10,431.50,464.00,427.80,459.80,6042300,450.90
2014-12-09,439.50,439.50,430.15,433.25,3022700,424.86
2014-12-08,434.00,439.25,425.00,437.40,3427400,428.93
2014-12-05,431.70,439.00,425.20,433.60,3351400,425.21
2014-12-04,438.45,441.00,428.75,430.90,2172700,422.56
2014-12-03,428.50,436.95,428.20,435.10,2567300,426.68
2014-12-02,421.80,428.75,413.30,427.35,1684800,419.08
2014-12-01,425.00,429.50,417.20,422.10,2063700,413.93
2014-11-28,412.10,425.00,412.10,422.40,2302800,414.22
2014-11-27,401.00,412.50,400.80,409.95,2300100,402.01
2014-11-26,401.40,406.00,398.35,401.35,3455500,393.58
2014-11-25,406.95,410.30,397.30,405.20,3833800,397.36
2014-11-24,417.25,419.10,405.00,406.15,2957200,398.29
2014-11-21,407.10,417.05,404.65,414.85,2491500,406.82
2014-11-20,412.70,413.85,401.75,406.55,3250700,398.68
2014-11-19,420.90,421.70,409.35,411.35,2617300,403.39
2014-11-18,422.00,423.50,415.05,418.75,1689900,410.64
2014-11-17,423.15,426.90,416.50,421.35,2939300,413.19
2014-11-14,412.20,427.15,408.00,420.65,4066700,412.51
2014-11-13,414.25,419.90,405.65,410.15,4667900,402.21
2014-11-12,398.50,415.00,397.10,411.95,6043400,403.97
2014-11-11,385.80,399.00,383.50,395.70,4068400,388.04
2014-11-10,382.80,389.45,374.50,386.85,3298100,379.36
