Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,841.65,847.80,838.60,841.75,128700,832.90
2014-12-30,838.00,847.00,834.10,838.55,151700,829.73
2014-12-29,835.00,854.40,835.00,841.65,313200,832.80
2014-12-26,840.05,847.90,830.10,832.00,169000,823.25
2014-12-25,843.60,843.60,843.60,843.60,000,834.73
2014-12-24,854.50,857.00,841.00,843.60,140800,834.73
2014-12-23,858.10,860.05,838.15,844.65,229100,835.77
2014-12-22,845.20,863.90,835.05,852.65,262200,843.68
2014-12-19,846.90,857.80,840.00,844.35,365800,835.47
2014-12-18,858.00,858.00,834.65,837.25,379900,828.44
2014-12-17,812.40,847.65,795.30,837.60,507200,828.79
2014-12-16,848.00,853.70,811.00,816.00,397900,807.42
2014-12-15,855.00,866.70,851.10,855.45,220000,846.45
2014-12-12,877.80,878.80,858.00,864.05,380000,854.96
2014-12-11,864.80,899.95,863.65,872.50,1432200,863.32
2014-12-10,855.10,864.00,837.80,856.90,359100,847.89
2014-12-09,870.80,875.75,851.00,853.60,264400,844.62
2014-12-08,879.70,881.70,860.05,868.35,249900,859.22
2014-12-05,888.90,901.90,872.00,877.30,676500,868.07
2014-12-04,891.00,909.50,883.10,888.00,917500,878.66
2014-12-03,864.00,901.00,864.00,891.65,1020400,882.27
2014-12-02,863.00,875.00,862.50,865.95,256200,856.84
2014-12-01,870.80,879.50,860.40,871.45,363400,862.28
2014-11-28,885.00,885.00,865.00,867.55,216700,858.42
2014-11-27,868.00,883.00,858.25,878.85,413600,869.61
2014-11-26,870.45,877.90,856.40,864.00,486400,854.91
2014-11-25,881.00,884.00,852.00,861.40,353700,852.34
2014-11-24,899.30,900.00,866.10,880.05,588700,870.79
2014-11-21,870.55,922.00,870.15,890.15,2447100,880.79
2014-11-20,860.50,871.90,850.10,867.50,373700,858.37
2014-11-19,863.20,874.45,846.65,858.00,248600,848.97
2014-11-18,869.80,884.95,858.00,865.70,376900,856.59
2014-11-17,837.30,879.70,837.30,870.95,779900,861.79
2014-11-14,844.05,855.00,831.00,835.95,250500,827.16
2014-11-13,862.30,865.00,837.55,844.45,214300,835.57
2014-11-12,861.40,872.90,854.00,859.70,298900,850.66
2014-11-11,850.35,864.95,847.50,858.45,252700,849.42
2014-11-10,873.00,876.65,845.25,850.35,299400,841.41
2014-11-07,874.90,884.80,862.90,871.70,468000,862.53
2014-11-06,870.85,870.85,870.85,870.85,000,861.69
2014-11-05,840.90,875.90,834.50,870.85,1115700,861.69
2014-11-04,836.45,836.45,836.45,836.45,000,827.65
2014-11-03,829.70,841.40,826.15,836.45,278700,827.65
2014-10-31,830.05,838.80,825.00,830.75,290600,822.01
2014-10-30,825.95,833.95,820.00,827.60,271500,818.89
2014-10-29,821.90,829.85,810.10,824.40,371400,815.73
2014-10-28,821.70,831.45,810.05,816.30,327000,807.71
2014-10-27,809.90,845.60,808.00,817.50,924900,808.90
2014-10-24,788.90,788.90,788.90,788.90,000,780.60
2014-10-23,788.90,788.90,788.90,788.90,000,780.60
2014-10-22,795.70,806.70,782.00,788.90,722800,780.60
2014-10-21,752.80,799.00,742.00,790.40,1784500,782.09
2014-10-20,761.10,773.90,743.50,747.80,276100,739.93
2014-10-17,745.30,764.50,745.30,755.00,386600,747.06
2014-10-16,758.00,788.20,743.00,748.65,478300,740.77
2014-10-15,764.70,764.70,764.70,764.70,000,756.66
2014-10-14,773.50,779.00,762.00,764.70,154800,756.66
2014-10-13,764.00,781.45,764.00,771.20,193400,763.09
2014-10-10,765.90,790.80,752.00,770.20,835000,762.10
2014-10-09,757.00,777.00,757.00,768.85,211500,760.76
2014-10-08,775.10,783.45,755.10,759.20,268800,751.21
2014-10-07,785.90,804.80,780.30,781.95,229800,773.72
2014-10-06,792.00,792.00,792.00,792.00,000,783.67
2014-10-03,792.00,792.00,792.00,792.00,000,783.67
2014-10-02,792.00,792.00,792.00,792.00,000,783.67
2014-10-01,800.00,807.90,790.25,793.85,277000,785.50
2014-09-30,819.95,821.00,793.15,799.55,524600,791.14
2014-09-29,793.00,828.00,790.00,815.75,685300,807.17
2014-09-26,786.40,797.05,773.00,787.30,626200,779.02
2014-09-25,814.40,817.95,765.10,774.70,511400,766.55
2014-09-24,807.35,819.95,798.25,802.85,305500,794.40
2014-09-23,822.00,831.00,804.40,806.95,368200,798.46
2014-09-22,824.70,843.00,818.05,825.10,331800,816.42
2014-09-19,850.10,854.00,830.10,832.70,285500,823.94
2014-09-18,840.00,858.00,832.25,846.65,769000,837.74
2014-09-17,814.05,825.00,806.00,819.75,388700,811.13
2014-09-16,834.30,852.00,796.65,806.10,822400,797.62
2014-09-15,808.00,832.00,805.10,818.45,338300,809.84
2014-09-12,820.15,823.90,811.10,813.00,243100,804.45
2014-09-11,818.90,828.50,815.50,819.40,326100,810.78
2014-09-10,803.30,825.00,802.00,816.25,439900,804.70
2014-09-09,816.10,832.00,786.15,811.45,1339300,799.96
2014-09-08,831.05,836.00,795.05,818.00,697300,806.42
2014-09-05,827.00,849.70,827.00,837.65,458400,825.79
2014-09-04,834.00,841.80,821.25,828.00,393000,816.28
2014-09-03,851.05,857.00,840.00,842.45,350900,830.52
2014-09-02,854.00,863.80,843.60,855.65,590600,843.54
2014-09-01,850.00,861.70,840.00,852.35,468600,840.28
2014-08-29,844.60,844.60,844.60,844.60,000,832.64
