Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,493.50,500.15,491.50,494.50,378700,481.57
2014-12-30,497.90,497.90,489.00,494.10,490500,481.18
2014-12-29,502.40,507.50,495.10,496.40,539200,483.42
2014-12-26,508.30,512.00,497.00,498.85,1080600,485.81
2014-12-25,497.35,497.35,497.35,497.35,000,484.35
2014-12-24,478.00,502.50,475.25,497.35,1339900,484.35
2014-12-23,497.10,498.60,476.30,479.50,730400,466.96
2014-12-22,497.50,498.00,485.90,495.20,510200,482.25
2014-12-19,491.40,503.00,490.00,493.05,719100,480.16
2014-12-18,481.05,487.45,473.10,482.25,635700,469.64
2014-12-17,476.65,484.10,459.55,468.80,1134800,456.54
2014-12-16,518.00,520.75,474.05,479.05,1102700,466.53
2014-12-15,521.25,531.05,515.15,520.85,585500,507.23
2014-12-12,529.50,536.65,522.25,525.35,711500,511.62
2014-12-11,541.70,543.00,523.00,527.60,880900,513.81
2014-12-10,521.10,540.90,518.20,538.00,1236100,523.93
2014-12-09,531.25,539.20,513.00,515.60,986500,502.12
2014-12-08,523.15,530.90,512.20,526.30,944000,512.54
2014-12-05,537.00,539.25,517.25,520.50,575700,506.89
2014-12-04,545.15,550.00,526.85,536.05,673400,522.04
2014-12-03,527.70,545.40,525.25,540.55,657500,526.42
2014-12-02,513.30,524.00,511.50,520.35,515200,506.75
2014-12-01,525.00,529.45,511.00,513.15,436100,499.73
2014-11-28,532.05,536.50,516.50,524.35,1005500,510.64
2014-11-27,505.80,529.90,505.00,528.20,1985300,514.39
2014-11-26,479.80,505.20,478.00,501.45,1126300,488.34
2014-11-25,500.10,501.00,469.75,481.05,1120400,468.47
2014-11-24,508.00,514.05,502.70,504.65,399300,491.46
2014-11-21,502.00,516.00,498.00,502.65,528700,489.51
2014-11-20,510.00,513.50,494.60,501.55,588400,488.44
2014-11-19,526.60,527.40,505.00,509.70,950500,496.37
2014-11-18,504.90,528.60,504.90,523.25,1339500,509.57
2014-11-17,482.25,504.00,482.00,502.15,785600,489.02
2014-11-14,475.35,482.85,473.45,480.10,383000,467.55
2014-11-13,479.40,482.40,469.95,475.00,518300,462.58
2014-11-12,477.80,486.35,471.60,477.50,709200,465.02
2014-11-11,468.15,475.80,458.65,474.25,655300,461.85
2014-11-10,468.00,478.80,465.30,468.40,540000,456.15
2014-11-07,481.00,481.70,465.75,467.95,661600,455.72
2014-11-06,482.55,482.55,482.55,482.55,000,469.93
