Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,397.30,401.70,395.70,399.35,360300,399.35
2014-12-30,404.35,406.00,395.50,396.45,535100,396.45
2014-12-29,398.50,410.40,398.50,404.30,590200,404.30
2014-12-26,396.60,399.55,390.40,398.15,583100,398.15
2014-12-25,395.40,395.40,395.40,395.40,000,395.40
2014-12-24,392.05,399.75,391.20,395.40,731100,395.40
2014-12-23,404.50,406.40,392.65,395.15,579000,395.15
2014-12-22,406.00,409.35,399.25,403.85,466800,403.85
2014-12-19,406.15,410.80,403.05,405.20,776300,405.20
2014-12-18,400.80,405.90,399.55,401.85,674600,401.85
2014-12-17,393.00,404.70,388.00,393.45,1343200,393.45
2014-12-16,396.70,402.70,387.05,389.40,1103500,389.40
2014-12-15,400.00,408.35,396.30,400.70,974700,400.70
2014-12-12,420.00,422.55,400.75,403.40,1336100,403.40
2014-12-11,433.00,434.75,418.00,420.00,987200,420.00
2014-12-10,433.00,442.80,428.50,432.30,882600,432.30
2014-12-09,451.60,451.85,435.00,436.10,860200,436.10
2014-12-08,462.50,465.75,450.55,451.60,541400,451.60
2014-12-05,462.20,468.55,459.10,460.85,394400,460.85
2014-12-04,462.00,467.05,457.10,462.30,552600,462.30
2014-12-03,467.00,469.50,461.40,463.70,475900,463.70
2014-12-02,460.10,467.70,460.10,464.80,530100,464.80
2014-12-01,474.00,474.90,460.00,461.65,448700,461.65
2014-11-28,461.60,475.20,461.50,473.30,974200,473.30
2014-11-27,467.00,467.90,459.50,460.50,426900,460.50
2014-11-26,464.40,468.90,460.80,465.70,454400,465.70
2014-11-25,475.00,475.50,458.65,464.40,718100,464.40
2014-11-24,470.30,479.85,470.30,476.60,789600,476.60
2014-11-21,467.90,472.40,460.55,462.70,624900,462.70
2014-11-20,472.90,473.00,462.05,466.85,540600,466.85
2014-11-19,487.00,492.50,470.00,471.45,803200,471.45
2014-11-18,479.70,489.00,477.25,486.45,609000,486.45
2014-11-17,477.05,482.90,475.50,479.65,463500,479.65
2014-11-14,467.35,482.50,467.35,479.10,948100,479.10
2014-11-13,468.00,474.90,462.45,470.30,828700,470.30
2014-11-12,480.00,483.00,466.55,468.30,838100,468.30
2014-11-11,472.90,481.50,471.20,479.70,621300,479.70
2014-11-10,473.10,476.25,462.30,471.05,736300,471.05
2014-11-07,478.15,486.40,471.05,472.15,645800,472.15
2014-11-06,477.95,477.95,477.95,477.95,000,477.95
2014-11-05,490.00,491.75,476.50,477.95,562700,477.95
2014-11-04,489.15,489.15,489.15,489.15,000,489.15
2014-11-03,492.00,495.30,486.05,489.15,605800,489.15
2014-10-31,476.00,492.70,475.00,489.35,911300,489.35
2014-10-30,473.00,477.00,468.60,474.40,651300,474.40
2014-10-29,453.75,472.70,453.75,471.75,923100,471.75
2014-10-28,450.80,453.50,447.10,451.00,428100,451.00
2014-10-27,460.10,461.55,450.45,451.80,434300,451.80
2014-10-24,457.10,457.10,457.10,457.10,000,457.10
2014-10-23,461.90,461.90,458.10,459.00,127200,459.00
2014-10-22,460.00,462.60,454.45,457.10,412300,457.10
2014-10-21,453.00,461.85,452.40,455.80,633300,455.80
2014-10-20,455.00,457.00,447.00,450.15,586000,450.15
2014-10-17,443.10,453.70,436.45,447.75,1002200,447.75
2014-10-16,461.00,468.00,437.10,439.85,1151900,439.85
2014-10-15,456.15,456.15,456.15,456.15,000,456.15
2014-10-14,460.00,461.90,441.50,456.15,936800,456.15
2014-10-13,446.00,459.45,441.10,457.80,646900,457.80
2014-10-10,462.40,462.40,446.65,448.20,1144100,448.20
2014-10-09,460.00,468.60,457.50,467.00,630200,467.00
2014-10-08,440.00,457.75,435.45,456.45,1291000,456.45
2014-10-07,448.00,452.95,438.30,440.95,1135400,440.95
2014-10-06,447.10,447.10,447.10,447.10,000,447.10
2014-10-03,447.10,447.10,447.10,447.10,000,447.10
2014-10-02,447.10,447.10,447.10,447.10,000,447.10
2014-10-01,457.00,458.90,445.60,448.70,796000,448.70
2014-09-30,469.00,472.70,456.75,459.30,659300,459.30
2014-09-29,475.00,480.00,465.10,466.55,582200,466.55
2014-09-26,460.00,477.15,458.45,474.20,735100,474.20
2014-09-25,475.10,477.45,451.10,459.95,1020800,459.95
2014-09-24,487.00,487.00,470.50,473.30,895400,473.30
2014-09-23,502.00,502.00,485.00,486.10,657800,486.10
2014-09-22,509.00,509.00,499.00,500.90,537500,500.90
2014-09-19,510.00,512.50,505.60,510.40,678100,510.40
2014-09-18,497.80,509.70,496.45,506.75,854700,506.75
2014-09-17,494.25,501.25,485.75,498.75,967600,498.75
2014-09-16,508.40,508.95,486.75,490.05,1276800,490.05
2014-09-15,514.00,515.00,505.40,507.55,593300,507.55
2014-09-12,517.95,522.00,514.50,517.05,511600,517.05
2014-09-11,521.60,524.75,515.50,517.70,609900,517.70
2014-09-10,516.00,523.50,513.60,520.30,573900,520.30
2014-09-09,514.00,520.70,510.55,518.50,495800,518.50
2014-09-08,515.00,519.90,511.00,517.00,531000,517.00
2014-09-05,509.50,515.70,506.30,513.00,702000,513.00
2014-09-04,525.35,528.40,505.00,509.25,798900,509.25
2014-09-03,520.70,531.00,520.70,525.75,741200,525.75
2014-09-02,524.00,526.90,517.75,519.20,558200,519.20
2014-09-01,515.15,526.50,512.00,523.85,721200,523.85
2014-08-29,513.55,513.55,513.55,513.55,000,513.55
